item_id,text
Russia,"Winning the right to host the World Cup must have been the only way this team, arguably the poorest in the history of Russian football, would get a chance to play at this tournament. The 2017 Confederations Cup at home, therefore, acted as the only real test for Russia, who stopped at a group stage after beating New Zealand but losing to Portugal and Mexico. In total, Russia have played 19 matches since Euro 2016 and won just six (against Ghana, Romania, Hungary, New Zealand, Dinamo Moscow and Korea Republic). They haven't won since October 2017, and conceded 10 goals in four friendlies against Argentina, Spain, Brazil and France. Is there one? That's really a tough call to make. Igor Akinfeev can still do wonders between the sticks, although he's prone to unthinkable blunders now and then. A triangle of Alan Dzagoev, Aleksandr Golovin and Fedor Smolov could produce something non-trivial in attack. Besides, Cherchesov has been trying to make his team work hard, pressing with quick transitions between defense and attack. It rarely works, but when it does it could be called this team's biggest strength. Defence has been considered the weak link of the Russian national team for many years. When the CSKA trio of Sergey Ignashevich and the Berezutski brothers (who are still considered the best despite being 38 and 35 years old, respectively) decided to quit international football, things only got worse. After his appointment, Cherchesov started playing five at the back, but since the start of 2018 he's lost two of the regular three centre-backs (Viktor Vasin and Georgi Dzhikiya) to long-term injuries. The coach had to start looking for new partnerships all over again, but six conceded goals and a huge amount of goal-scoring opportunities for opponents in this year's two friendlies show that it hasn't been an easy task. Fedor Smolov is probably the biggest Russian star at the moment. The 28-year-old striker took a while to transform from a talent to becoming the country's main striker. Giving up on the posh life and breaking up with a former model (Viktoriya Lopyreva, who's now one of the official World Cup ambassadors) coincided with his rise. He became the top Russian Premier League scorer in two successive seasons (20 goals in 2015-16, 18 goals in 2016-17) with FC Krasnodar, and he's currently on par with Spartak's Quincy Promes (14 goals scored each) in the hunt for a third straight golden boot in Russia.
The skillful striker, who's equally good at finishing and passing, has a dream to play for one of Europe's big clubs and may use the World Cup to convince them to take a gamble on him. Something needs to be done about the way Russia defend, but nearly all of the defenders Cherchesov has tested after Vasin and Dzhikiya's injuries have failed to prove their level. What we saw in the March friendlies showed that there's no light at the end of the tunnel."
Saudi_Arabia,"Saudi Arabia secured their place at the World Cup finals for the first time since 2006 with a second-place finish in their AFC qualifying group behind Japan. A 1-0 win over the already qualified Japanese in their final group match, courtesy of Fahad Al Muwallad's second-half goal, saw Saudi Arabia finish ahead of Australia on goal difference. While Saudi Arabia are on their third coach in less than a year, the squad is built on a solid core of players. Drawn mainly from Saudi Premier League champions Al Hilal and runners-up Al Ahli, the key players know each other well, and that cohesion is unlikely to be disrupted despite the decision to send a group that included Yahya Al Shehri, Salem Al Dawsari and Fahad Al Muwallad, on loan to clubs in Spain in January. The move hasn't worked -- Al Muwallad and Al Dawsari are the only ones who got minutes, a lone substitute appearance each -- but the spirit in the squad should see the players overcome some of these issues. A lack of experience at the highest level is one of several problems facing Saudi Arabia as they embark on their first trip to the World Cup finals in 12 years. None of the most likely contenders for Juan Antonio Pizzi's side have played in a World Cup, and the country has a poor record in continental tournament play in recent years, failing to advance far at the Asian Cup in 2011 and 2015. Other issues include Pizzi's lack of preparation time with the squad; the Argentina-born coach was appointed only in November, leaving both tactician and players a little more than six months to work together ahead of Russia. Yahya Al Shehri has established himself as the star playmaker for a Saudi Arabia side that has a relatively settled feel and that played at a level beyond the sum of its parts to qualify for Russia. Al Shehri is often given a licence to roam from his position behind striker Mohammed Al Sahlawi, and it is from deep that he can cause the most problems as he slips into positions where he can turn and face the opposition. The 27-year-old has spent much of his professional career with Riyadh-based Al Nassr, although he was sent on loan to Leganes in Spain in January, where his lack of playing time in La Liga could have a huge impact on his fitness going into the World Cup. In general, I'm not optimistic about Saudi [Arabia]. I believe they were fortunate not to get a stronger group. But the lack of a clear vision since qualifying will hurt them in Russia. The Spain experience has been an utter failure, and Pizzi has been merely playing a catch-up game to get them back into the level they were already at under [former coach Bert] Van Marwijk It has been a long time since Saudi Arabia made fans sit up and take notice at a World Cup, and it is unlikely Pizzi's team will earn many plaudits when they take to the field in Russia. While the group they have been handed is far from difficult, Saudi Arabia's lack of quality and experience in top-class tournament play makes it unlikely they will progress beyond the group. They will at least have the honour of becoming the first Asian nation ever to play in the opening game when they take on Russia in Moscow on June 14, and their meeting with the hosts arguably represents their best hope to take something from the competition."
Egypt,"Egypt capitalised as Ghana lost their way, first under Avram Grant and then under Kwesi Appiah, to establish a five-point lead over the Black Stars after their first two matches. They weren't made to pay for a shock defeat away in Kampala against Uganda in August, as Ghana failed to beat Congo-Brazzaville at home, and then took a major step toward the finals when Mohamed Salah settled the return clash in Alexandria. The Liverpool superstar was again the hero in their penultimate group game against Congo, when he stepped up to convert a 94th-minute penalty after Arnold Bouka Moutou had cancelled out his 63rd-minute opener. It was a nerveless finish by the ""Egyptian Messi"" that took Egypt to their first World Cup since 1990 and prompted scenes of jubilation across the North African nation. One of the biggest questions going into the World Cup will be: Will Mohamed Salah be there? The 26-year-old suffered a shoulder injury playing for Liverpool in the Champions League final and it is estimated he will miss three weeks. If that is the case, he will be a doubt to face Uruguay on June 15. If he does make it, there aren't too many players in world football in better form than Salah, whose stock has been transformed since returning to the Premier League with Liverpool this season. Egypt's group stage opponents are likely to struggle to silence Salah, while his momentum could help the Pharaohs topple a heavyweight or two as the tournament progresses. Beyond Salah, Egypt are limited and you can expect accusations of the Pharaohs being a one-man team to persist throughout the summer. If the Liverpool man is not there otr, even if he is, gets neutralised by opponents, they can lack a Plan B while, too often, Cuper's conservative approach means that the team can struggle to shift gears. If things don't go their way early in matches, or if they fall behind, the Pharaohs are in danger of running out of ideas. Mohamed Elneny's injury concerns also threaten to deny them a forceful personality and a valuable midfield presence. Fitness permitting, all eyes will be on Salah this summer, and unsurprisingly so. There haven't been many African players in history who could match his output and contribution in the Premier League this term, and a strong tournament may see him end Africa's wait for a second Ballon d'Or winner. Of course, Egypt don't attack teams in the same way as Liverpool, but the responsibility of playing for his nation can bring the best out of Salah, too -- as he demonstrated by topping Africa's scoring charts during qualification. However, will a long season as part of Jurgen Klopp's intense, draining Liverpool side leave Salah with enough in the tank to maintain his form? The mood is high, and players and fans alike are excited. Obviously, there have been some negative issues, like the Salah saga with the EFA, which we hope will be solved soon, coupled with Elneny's injury and Ahmed El-Shenawy's ACL injury which ruled him out of the World Cup. Regardless of those things, I am sure we have the players to take us through to the round of 16 as a minimum. Again, this is predicated upon Salah being at 100 percent, but Egypt will be delighted with their group stage draw; even if they begin their campaign with a tough assignment against Uruguay, it shouldn't be too long before they get their first World Cup win. Russia and Saudi Arabia are the two lowest-ranked teams in the tournament, and while the former will be keen to leverage their home advantage, it's hard to see how either will have an answer to Salah. If the forward can summon up the inspiration that has accompanied him through his campaign with Liverpool, then Egypt could trouble either Portugal or Spain in the round of 16, but progress beyond that would represent a remarkable achievement."
Uruguay,"Uruguay finished second in the CONMEBOL qualifiers and had a great tournament despite Luis Suarez' absence from their first four matches and Edinson Cavani's absence in the first two. Uruguay's defensive intensity and ability to capitalize on the moments in which they manage to dominate their opponents have been their main virtues. They can rely on the strength of their backs, Diego Godin and Jose Maria Gimenez, who play together at Atletico Madrid. Uruguay's squad has also been revamped up the middle with young and intense players and have a devastating attack featuring one of the world's best duos in Suarez and Edinson Cavani. The overhaul in the middle has changed their play and the friendlies available to put this into practice have been limited. The intensity of the team is another point of concern. If Uruguay don't play to the maximum, they become vulnerable. Suarez, Godin and Cavani are the stars of the team. The defender holds the last line together while the forwards make up a fearsome offensive pair. One of them shines at Barcelona, the other one at PSG, and they complement each other wonderfully. Suarez has scored 50 goals in 97 matches and Cavani has scored 42 in 100. They both lead the national team in scoring. The media believes in this team. Since Tabarez took them on, they have improved their efficiency as the competition has progressed. They are in a group that is relatively easy for them and after that, the knockout stages, instances where Uruguay feel comfortable, will begin. Uruguay will get to Russia with an interesting mixture of experience and youth. Godin, Caceres, Suarez and Cavani are in excellent shape and they can count on sufficient depth in midfield. Winning the group will be key in order to start dreaming about the semifinals."
Portugal,"After losing the opening game of UEFA World Cup Qualification Group B against Switzerland in Basel, Portugal won all their remaining matches to top the group and qualify automatically for Russia. After that initial setback, which Ronaldo missed through injury, Portugal scored 32 goals and conceded only two in the next nine games. Ronaldo and Andre Silva struck up a superb partnership, scoring 24 goals between them. Santos has instilled an iron will to win and an enormous unity of purpose since taking over in September 2014, with the team winning 20 and losing only one of 24 competitive matches under the veteran coach. The Selecao regularly made deep runs into major tournaments in recent history -- five semifinals or better in nine tournaments this century -- but were always seen as mentally brittle at crunch time. Not anymore. Portugal's players have fully bought into the mantra of first and foremost making themselves difficult to beat, with the Euro 2016 triumph strengthening their belief in this approach and fortifying the newfound winning mentality. The fierce competition for places among a talented generation has not dented an impressive togetherness within the squad. A reliance on veteran players could prove their undoing. Portugal have lost only two competitive matches since the 2014 World Cup, and both times Ronaldo was missing through injury. If the opposition manage to nullify him, the Selecaowill struggle for goals. At the heart of defence, 35-year-old Pepe is arguably at least as important for Portugal's chances of going far, the form and fitness of the centre-back crucial, especially as he will likely be partnered by either Bruno Alves (36) or Jose Fonte (34), both of whose better days are behind them. As mentioned above, Portugal's traditional free-wheeling and flamboyant style of play has been replaced by a more defense-minded approach, meaning creativity is in short supply. Ricardo Quaresma (34), despite being mainly used off the bench by Santos, has supplied more than double the number of assists by any other Portugal player in the past four years, and is likely to be key to unlocking the opposition. Look no further than Portugal's greatest ever player, Cristiano Ronaldo. After a poor start to 2017-18, critics were lining up to write the obituaries on his extraordinary career. But since the turn of the year, the Real Madrid superstar has been unstoppable. He has obliterated the records for Portugal's national team (148 caps, 81 goals and counting) but remains as hungry as ever to further burnish his legacy. If the Selecao are to follow up their debut tournament victory in France two years ago with something special at this World Cup, Ronaldo will be at the heart of it.Portugal got drawn in one of the most difficult groups but have one of the top teams in the world right now so can aspire to the top. Although the other teams [Morocco and Iran] had fantastic qualifying campaigns, Portugal and Spain are favourites to top the group and are among the favourites to win the whole thing. At the start of the century, Portugal had more stars than they have now but didn't win anything. Now there are fewer stars, so you have to give credit to the job Fernando Santos has done, who has been extremely pragmatic in building a well-organised team. The two times Portugal qualified for a World Cup in Europe, they reached the semifinal (England 1966 and Germany 2006), but matching that achievement appears a long shot. An over-reliance on Ronaldo and Pepe, along with the fact that too many key players have had disastrous seasons -- Andre Silva, Raphael Guerreiro, Adrien Silva, Joao Mario -- has seen Portugal regress since winning the European Championship two years ago. They should get out of the group, and once there, a favourable match-up in the round of 16 makes a quarterfinal appearance doable, though the run will end there against France or Argentina."
Spain,"Spain sailed through qualifying in Europe's Group G, winning nine and drawing one of their 10 games while scoring 36 goals and conceding just three. Lopetegui also used the matches to blend new players, including Real Madrid's Marco Asensio and Atletico Madrid's Saul Niguez, with the experienced core he inherited two years ago from predecessor Vicente Del Bosque. The standout performance was in the clash with Italy in September at the Bernabeu, where Madrid's Isco scored twice in a comprehensive 3-0 victory. Spain's biggest strength throughout their 2008-12 glory years was a possession-based style that saw them able to dominate games and international tournaments in a way never seen before. Lopetegui has adopted that style to current conditions, renewing their vigour at pressing to regain the ball immediately when they lose it, but his team's chances of success in Russia will still be determined by whether they can again use possession to wear down opponents. Veteran midfielders Sergio Busquets, Andres Iniesta and David Silva will be key to this approach once more, and their experiences (both positive and negative) in previous tournaments should also be very useful in Russia. Spain's biggest problem through more recent disappointments has been a inability to turn all that dominance of territory and possession into goals. Lopetegui's side are almost sure to have the majority of the ball in all their games in Russia -- but not to make that advantage count. The ongoing lack of a confirmed first-choice centre-forward remains their biggest issue ahead of the tournament. Diego Costa, Alvaro Morata, Rodrigo Moreno and Iago Aspas have all played as the team's reference point in attack but all have questions over their suitability for the role. Marco Asensio was also tried as a ""false nine,"" something that could be repeated in the summer. Now 34, Andres Iniesta remains the leader in the Spain midfield, with Lopetegui trusting him as the successor to former teammate Xavi Hernandez as the team's main string-puller. The scorer of the winning goal at the 2010 tournament, Iniesta's ability to control the pace and shape of a game was seen again during a star showing as his club Barcelona won the 2018 Copa del Rey final in April. This is also sure to be a final international tournament for ""Don Andres,"" who will likely not play every single minute, but whose influence on and off the pitch will still be huge. A new team? No, it is still our old one; the one that Luis Aragones built, [Vicente] Del Bosque maintained for so long and which started to make incredible headway with a few replacement parts. Now it is Lopetegui's turn to replace a few bits and pieces, but the team remains the same. Lopetegui is doing an excellent job with tact, consideration and using the passage of time to his benefit. Spain is still producing players and he knows when to bring them in. The 3-0 victory over Italy in qualifying convinced fans and pundits that Spain were ""back"" and had a real chance of going all the way this year. Lopetegui's squad has at least as much talent and experience as any other country at the tournament, and if they do click, then they can potentially play at a level above all their potential opponents -- including Cristiano Ronaldo's Portugal in the group and possibly Argentina in the quarterfinals and defending champions Germany in the semis. It has been a roller coaster for La Roja over the past decade, but they seem ready to peak again and send Iniesta, Ramos, Pique & Co. into international retirement with another winners' medal."
Morocco,"Despite being grouped with 2015 African champions Ivory Coast, Morocco went unbeaten during the CAF qualifying campaign and did not concede a goal across their six matches. But they started slowly, drawing three of their first four matches 0-0. The highlight of qualifying was a Hakim Ziyech-inspired 6-0 demolition of Mali in September, and they secured their spot in Russia by beating Gabon 3-0 in their penultimate game. Renard has demonstrated throughout his managerial career that he knows how to construct watertight defensive units, at least at the international level. The personnel at his disposal with the Atlas Lions has allowed him to build a side that concedes few goals. With Medhi Benatia in the centre of the defence, and Karim El Ahmadi protecting the back line, it will be fascinating to see how their Group B opponents try to break them down. Earlier in Renard's tenure, there were concerns about who could step up as the team's goal getter, but Khalid Boutaib came good with four during qualification, including a hat trick against Gabon, and will be a handful leading the line. Twelve goals in 29 appearances in the Turkish Super Lig this season is a decent return, too. Still, at 31, Boutaib is one of several key players -- along with Mbark Boussoufa, Karim El Ahmadi, Nordin Amrabat, Aziz Bouhaddouz, Nabil Dirar, Manuel da Costa and Medhi Benatia -- on the wrong side of 30, and it will be intriguing to see how well they can chase a game against Portugal or Spain if they fall behind. The biggest concern for Morocco is a particularly tricky draw which leaves them needing to pull off at least one big upset to progress. Hakim Ziyech appears primed for a big move this summer after another excellent season in the Eredivisie. He's been linked with a move to the Premier League in recent transfer windows -- Everton are his latest suitors -- and a strong tournament should see interest in his services increase. The Ajax midfielder has made 23 decisive contributions in the Dutch top flight so far this season (nine goals, 14 assists), and his showing in Morocco's 6-0 rout of Mali was arguably the best individual performance of any African player during the qualifying campaign.The Atlas Lions are ready! Mentally, physically, they know that they have all they need to win. They've qualified in heroic fashion, have touched all of the nation, and have capsized millions of hearts. Their togetherness, their courage and their ambition give them the right to dream. Thanks to Herve Renard, we can believe in qualification for the second round. The main quality I find in this team is its defensive solidity in the games that matter. Morocco finished first in their group without conceding, in a group containing Ivory Coast, Mali and Gabon [even if Pierre-Emerick Aubameyang didn't play every match]. It's a performance which demands respect. A team that didn't concede a single goal during qualification isn't going to be an easy team [to beat]. It's a squad where there's a blend of defensive solidity and experience, and which has a soul, and a coach who knows how to unite people around him. Had Morocco been drawn into Group A or H, where Egypt and Senegal landed, their fans would be expecting a spot in the knockout stages -- such is the superb organisation of this team and its wealth of options further forward. Had the Atlas Lions reached the final 16, then Renard's tactical acumen and track record in knockout football could have seen them take a further scalp or two. However, after being pitted against Portugal and Spain in Group B, it's hard to see them escaping the opening round. An opening-day win against Iran in St. Petersburg on June 15 is surely imperative, and after that they'll need to mastermind a victory over one of the two European heavyweights. It's a tall order, even if recent friendly victories over Uzbekistan and Serbia augur well."
Iran,"The road to Russia could not have been smoother and straighter for Iran, who became the second team (after Brazil) to secure a spot. All the team had to do was finish in the top two in the third round of qualification, and it was never in doubt. Not only did they finish first and unbeaten, but Iran, now preparing for a fifth World Cup, didn't concede a single goal until the 10th and final game after qualification had already been achieved. Iran's defence took the headlines in qualification, but what makes the difference between the team that finished bottom of their 2014 World Cup group and this version is the attacking options open to the coach Queiroz. Winger Alireza Jahanbakhsh and striker Sardar Azmoun would dribble and shoot their way into any Asian team, but there is more. Saman Ghoddos has enjoyed an excellent season in Sweden and is set for a move to a bigger league this summer, though he can't yet be sure of a starting place. Mehdi Taremi is one of the top strikers in Asia but could be on the bench, and the same can be said for Karim Ansarifard, the joint top scorer in the Greek league this season with a game remaining. There are others, and while Iran do like to keep things tight, their forays forward should be better -- in terms of quality and quantity -- than four years ago. Iran have been the highest-ranked Asian team for four years. That theoretical superiority has been reflected by reality for at least the past two years. The team has strength in depth, match-winners and match-savers and an excellent coach, but what it lacks is games against top-class international opposition. While qualification was impressive, Iran were not stretched enough by their continental counterparts. Preparations may be a little better than in the past, but the quality of opposition faced (Latvia, Uzbekistan and Sierra Leone) pales alongside the Belgium, Germany and Italy schedule regional rivals Saudi Arabia have lined up. The defence has been imperious in Asia but has not been tested as much as the coach may like. Alireza Jahanbakhsh. With one game of the Dutch Eredivisie season remaining, the winger -- that's right, the winger -- is the top scorer in the league. With 18 goals and a whole host of assists, the 24-year-old has been one of the top performers in Europe this season. In 2014, Team Melli defended with diligence and discipline at the 2014 World Cup but just managed a single goal in 270 minutes of football. There are more offensive weapons at Queiroz's disposal now with the AZ Alkmaar attacker in excellent form (though pastures new are surely just around the corner). He's fast and direct, and with confidence sky-high, he's ready to shoot powerfully from anywhere. The most exciting thought is that there are other dangers such as Azmoun for defenders to worry about, which gives Jahanbakhsh the freedom to do what he does best: cause havoc. For Iran to proceed from the group will be very difficult because Spain and Portugal are top teams but it will not be an easy task for them to beat Iran. Team Melli will make Iran proud. We want to write our own history and book a place in the second round for the first time. We firmly believe that we can do it because we have the potential. After an almost perfect qualification campaign and a feeling that things were really coming together to make a first knockout-stage appearance a real possibility, the draw was cruel. But if any Asian team can get out of it, it is Iran. Morocco will be far from easy, but three points from the opening game puts Team Melli within touching distance. There is no doubt Iran are capable of getting a result against Spain and/or Portugal, and it is fair to say Queiroz, former coach of Real Madrid and Portugal, is going to know more about the opposition than vice-versa. Given the draw, as well as Iran's past history in the tournament, there are no demands to finish in the top two. Being in the mix for the final game would be acceptable, and their statistic of just one win in 12 previous World Cup matches really needs to be improved. Yet if Iran can make it out of the group, there is no reason why they could not go a little further."
France,"The French team topped Europe's Group B, which featured Netherlands and Sweden, but qualification was closer than expected. Deschamps' men finished four points ahead of both the Dutch and the Swedes, losing to Janne Andersson's side away and also dropping points against Belarus and Luxembourg. A maximum points haul was not expected, but it was feasible, so the loss in Sweden and the home draw with Luxembourg was disappointing. A maximum points haul was not expected, but it was feasible, so the loss in Sweden and the home draw with Luxembourg was disappointing. France boast an abundance of young talent and strength (not to mention quality) in depth that almost every other nation can only dream of. With the exception of a few select positions, notably left-back and right-back, Deschamps has an enviable array of proven star quality or exceptional promise to choose from. The 1998 World Cup and 2000 European Championship-winning captain is going to have a stronger headache than most in deciding who to leave behind this summer. Les Bleus have started to believe their own hype, and as history will attest, that is not a good thing. Back in 2013, France rode the crest of a wave of national unity as the nation fell back in love with their footballers after a lengthy period of turmoil to reach the 2014 World Cup in Brazil. That ""feel-good"" factor carried over into Euro 2016 on home soil but has since worn off. Deschamps, who has had his contract renewed until 2020, has come in for criticism for not getting better out of this squad, while big stars like Manchester United's Paul Pogba have been accused of not doing enough for the team. This summer in Russia will be critical for the current French generation. Despite boasting the likes of Pogba and Paris Saint-Germain's Kylian Mbappe, Atletico Madrid's Antoine Griezmann remains France's talisman. However, Griezmann is not immune to the issues currently ailing Deschamps' squad, and his return of four goals from 10 qualification appearances reflected the nation's bumpy road to Russia. Pogba and Griezmann are viewed as the strong men of this team. The other players are proud to play alongside these guys. Pogba and Griezmann do not seem to understand that, though. They are both rappers, actors, directors, dancers, footballers and basketball players at the same time: Griezmann has even said he would prefer to play basketball! A few months before a World Cup, they need to be concentrating. They have to lead the way! They cannot be asking journalists to ""get behind us and push us higher"" or ""get behind Grizou and take him higher."" What is this c--p? It is up to them to take us, the nation, there! This French team lacks character and mentality. France should top Group C ahead of Australia, Denmark and Peru but find things harder in the latter stages. Argentina, Croatia, Iceland and Nigeria are all possibilities in the round of 16, while Portugal, Spain, Russia, Uruguay and Egypt could all follow in the quarterfinals. Les Bleus will probably reach the last eight, but going further than that will require a significant change in attitude. Perhaps the the tournament will bring exactly that, making the semifinals a distinct possibility."
Australia,"The Socceroos qualified the hard way after finishing third behind Japan and Saudi Arabia in Group B of Asia's third qualification round. Two-legged playoffs against Syria and Honduras followed, and success in these crunch games secured Australia a berth in a fourth consecutive World Cup. Immediately after booking their place, though, coach Ange Postecoglou announced his resignation. Attacking at all costs saw the Socceroos enjoy unprecedented success under the guidance of Postecoglou, and that attitude is almost certain to prevail for the foreseeable future, including when the team takes to the pitch in Russia. That will be mildly tempered by short-term boss Bert van Marwijk, who will insist his midfield and defence clamp down on the opposition. So, all going to plan for the Socceroos, the balance of the side should be its greatest strength. This strategy also plays to the strengths of the personnel at Van Marwijk's disposal, with key midfielders Aaron Mooy, Massimo Luongo and Tom Rogic all capable of becoming the fulcrum of the team at any moment. Losing an influential coach is always difficult, but when a side is only months out from the biggest competition of all, that loss is felt even deeper. The Socceroos players will not come out publicly to acknowledge the hole that is Postecoglou's absence, but they will know he should be there with them. That sense of something missing will likely linger in the dressing room, particularly at the start of the tournament. That said, a strong early showing against France in their opener in Kazan could erase many of those feelings, giving the players greater faith in Van Marwijk -- despite his confirmed short tenure. Aaron Mooy has all the skills needed to make a big name for himself at the World Cup. Already performing solidly in the Premier League for Huddersfield Town, Mooy is strong in the tackle and capable of playing a killer ball in an instant. Indeed, his ability to turn defence into attack swiftly could hold the key to Australia surprising their more fancied Group C opponents. He will need to be at his absolute best to give the Socceroos a fighting chance of sneaking into the round of 16 and, if he is, it would not surprise to see the 27-year-old land a transfer to a bigger club next season. The 4-1 loss to Norway, followed by the 0-0 draw with Colombia, exposed the teething problems that need to be quickly fixed before Russia, and while a player like Massimo Luongo put his credentials front and centre, others, particularly defensively, will make the new Dutch mentor look closely at other options floating around Australia and the football globe. Expectations are relatively low given the managerial change and tricky group opponents in France, Denmark and Peru. In fact, very few people will give Australia a chance of progressing beyond the group stage. However, with more familiarity of van Marwijk's game plan in upcoming friendlies, this team will certainly fight until the bitter end. If they can become difficult enough to break down in defence, they may just eke out one or two positive results. There is no doubt that it'll be difficult for Australia to finish in the top two of Group C, but in one of the most evenly balanced World Cup draws in recent memory, it's not entirely implausible."
